# This file contains diffraction elastic constants for BCC Fe
h,k,l,s1,hs2
1,1,0,-1.232104E-6,5.688224E-6
2,1,1,-1.232104E-6,5.688224E-6
2,2,0,-1.232104E-6,5.688224E-6
3,2,1,-1.232104E-6,5.688224E-6
3,3,0,-1.232104E-6,5.688224E-6
2,0,0,-1.856303E-6,7.560821E-6
4,0,0,-1.856303E-6,7.560821E-6
3,1,0,-1.631592E-6,6.886686E-6
2,2,2,-1.024038E-6,5.064025E-6
4,2,0,-1.456816E-6,6.362359E-6
4,1,1,-1.602000E-6,6.797910E-6
3,3,2,-1.067027E-6,5.192992E-6
5,2,1,-1.498429E-6,6.487199E-6
