# This file contains diffraction elastic constants for alpha Ti in Ti-6Al-4V
h,k,l,s1,hs2
1,0,4,-2.489233E-6,10.608771E-6
1,0,0,-2.967330E-6,11.985904E-6
0,0,2,-2.967330E-6,11.985904E-6
1,1,0,-2.967330E-6,11.985904E-6
2,1,1,-2.956701E-6,11.956837E-6
1,1,4,-2.665315E-6,11.122285E-6
1,0,2,-2.715186E-6,11.267053E-6
1,0,1,-2.890067E-6,11.769975E-6
1,0,3,-2.575073E-6,10.859492E-6
0,0,4,-2.575073E-6,10.859492E-6
2,0,2,-2.890067E-6,11.769975E-6
